,十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址（里鄰）,地址,聯絡電話,座標緯度,座標經度,備註,行政區2
0,102020011,高雄市立聯合醫院,高雄市,鼓山區,804,,高雄市鼓山區中華一路976號,07-5552565,22.654927,120.29119399999999,,鼓山區
1,102070020,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),高雄市,前金區,801,,高雄市前金區中華三路68號,07-2911101,22.62715,120.29693799999998,,前金區
2,102080017,高雄市立民生醫院,高雄市,苓雅區,802,,高雄市苓雅區凱旋二路134號,07-7511131,22.626657,120.32359199999999,,苓雅區
3,102080026,凱旋醫院,高雄市,苓雅區,802,,高雄市苓雅區凱旋二路130號,07-7513171,22.625122100000002,120.32403740000001,,苓雅區
4,142030019,衛生福利部旗山醫院,高雄市,旗山區,842,,高雄市旗山區中學路60號,07-6613811,22.880796,120.48326399999999,,旗山區
5,502030015,國軍高雄總醫院左營分院附設民眾診療服務處,高雄市,左營區,813,,高雄市旗山區中學路60號,07-5811648,22.701528,120.29041399999998,,旗山區
6,502080015,國軍高雄總醫院附設民眾診療服務處,高雄市,苓雅區,802,,高雄市苓雅區建軍路5號,07-7496751,22.627648999999998,120.342169,,苓雅區
7,542020011,國軍高雄總醫院岡山分院附設民眾診療服務處,高雄市,岡山區,820,,高雄市岡山區大義二路1號,07-6250919,22.789456,120.28587399999999,,岡山區
8,602030026,高雄榮民總醫院,高雄市,左營區,813,,高雄市左營區大中一路386號,07-3422121,22.677537,120.32250400000001,,左營區
9,902080013,阮綜合醫療社團法人阮綜合醫院,高雄市,苓雅區,802,,高雄市苓雅區成功一路162號,07-3351121,22.626881,120.326254,,苓雅區
10,907030013,廣聖醫療社團法人廣聖醫院,高雄市,旗山區,842,,高雄市旗山區中華路618號,07-6622391,22.884981,120.485444,,旗山區
11,907320012,愛仁醫療社團法人愛仁醫院,高雄市,三民區,807,,高雄市三民區民族一路51號,07-3115159,22.641817,120.31383999999998,,三民區
12,907350010,乃榮醫療社團法人乃榮醫院,高雄市,苓雅區,802,,高雄市苓雅區三多二路226,07-7613151,22.618759,120.31878,,苓雅區
13,942020019,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,高雄市,岡山區,820,,高雄市岡山區岡山里壽天路12號,07-6222131,22.796612,120.29444299999999,,岡山區
14,1102110011,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),高雄市,小港區,812,,高雄市小港區山明里山明路四八二號B1-10樓,07-8036783,22.567359,120.363101,,小港區
15,1107120017,義大醫療財團法人義大癌治療醫院,高雄市,燕巢區,824,,高雄市燕巢區角宿里義大路21號,07-6150022,22.764405,120.3627832,,燕巢區
16,1107320017,義大醫療財團法人義大大昌醫院,高雄市,三民區,807,,高雄市三民區大昌一路305號地下1樓至6樓,07-5599123,22.652288000000002,120.329053,,三民區
17,1107350015,天主教聖功醫療財團法人聖功醫院,高雄市,苓雅區,802,,高雄市苓雅區建國一路352號,07-2238153,22.63316,120.323966,,苓雅區
18,1142010518,高雄市立鳳山醫院（委託長庚醫療財團法人經營）,高雄市,鳳山區,830,,高雄市鳳山區經武路42號,07-7418151,22.628244,120.362974,,鳳山區
19,1142100017,長庚醫療財團法人高雄長庚紀念醫院,高雄市,鳥松區,833,,高雄市鳥松區大埤路123號,07-7317123,22.655663,120.357238,,鳥松區
20,1142120001,義大醫療財團法人義大醫院,高雄市,燕巢區,824,,高雄市燕巢區角宿里義大路1號,07-6150011,22.770797,120.358397,,燕巢區
21,1202080029,信義醫療財團法人高雄基督教醫院,高雄市,苓雅區,802,,高雄市苓雅區華新街86號,07-3321111,22.613902,120.296232,,苓雅區
22,1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,高雄市,三民區,807,,高雄市三民區十全一路100號,07-3121101,22.647734699999997,120.31041599999999,,三民區
23,1307370011,高雄市立旗津醫院,高雄市,旗津區,805,,高雄市旗津區旗港路33號,07-5711188,22.59021,120.285113,,旗津區
24,1502020065,正大醫院,高雄市,鼓山區,804,,高雄市鼓山區鼓山三路128-9號,07-5823989,22.663874,120.27954,,鼓山區
25,1502031095,馨蕙馨醫院,高雄市,左營區,813,,高雄市左營區明誠二路五四一號,07-5586080,22.660969,120.30376399999999,,左營區
26,1502031102,柏仁醫院,高雄市,左營區,813,,高雄市左營區博愛二路350號地下1樓至地上1-5樓,07-5508888,22.6643339,120.30347649999999,,左營區
27,1502040021,健仁醫院,高雄市,楠梓區,811,,高雄市楠梓區中陽里楠陽路136號,07-3517166,22.72362,120.328988,,楠梓區
28,1502040076,顏威裕醫院,高雄市,楠梓區,811,,高雄市楠梓區秀昌里後昌路826號,07-3639053,22.711168,120.29569199999999,,楠梓區
29,1502041108,長春醫院,高雄市,楠梓區,811,,高雄市楠梓區右昌街331號,07-3612995,22.714272,120.2891,,楠梓區
30,1502041117,右昌聯合醫院,高雄市,楠梓區,811,,高雄市楠梓區軍校路930號,07-3643388,22.7138,120.290879,,楠梓區
31,1502050045,德謙醫院,高雄市,三民區,807,,高雄市三民區九如二路18號地下1樓至6樓,07-3210981,22.64066,120.313181,,三民區
32,1502050152,南山醫院,高雄市,三民區,807,,高雄市三民區建東里建國三路151號,07-2882101,22.637670999999997,120.29853500000002,,三民區
33,1502050170,祐生醫院,高雄市,三民區,807,,高雄市三民區建國三路60號,07-2866688,22.637983,120.29610600000001,,三民區
34,1502050241,民族醫院,高雄市,三民區,807,,高雄市三民區民族一路880號,07-3462802,22.668546,120.31745900000001,,三民區
35,1502050296,文雄醫院,高雄市,三民區,807,,高雄市三民區察哈爾二街132號地下1層地上1至4層,07-3165275,22.64794,120.299466,,三民區
36,1502051426,四季台安醫院,高雄市,三民區,807,,高雄市三民區聯興路157號,07-3983000,22.659470000000002,120.31386100000002,,三民區
37,1502060014,蕭志文醫院,高雄市,新興區,800,,高雄市新興區七賢一路102號,07-2240252,22.633944,120.31433100000001,,新興區
38,1502060149,惠仁醫院,高雄市,新興區,800,,高雄市新興區中山一路67-2號,07-2010196,22.6298265,120.29924640000002,,新興區
39,1502070029,重仁骨科,高雄市,前金區,801,,高雄市前金區中華三路247號,07-2813136,22.634354300000002,120.2937679,,前金區
