十碼章,醫院名稱,縣市別,行政區,郵遞區號,地址（里鄰）,地址,聯絡電話,座標緯度,座標經度,備註
0102020011,高雄市立聯合醫院,高雄市,鼓山區,804,,高雄市鼓山區中華一路976號,07-5552565,22.654927,120.291194,null
0102070020,高雄市立大同醫院(委託財團法人私立高雄醫學大學附設中和紀念醫院經營),高雄市,前金區,801,,高雄市前金區中華三路68號,07-2911101,22.62715,120.296938,null
0102080017,高雄市立民生醫院,高雄市,苓雅區,802,,高雄市苓雅區凱旋二路134號,07-7511131,22.626657,120.323592,null
0102080026,凱旋醫院,高雄市,苓雅區,802,,高雄市苓雅區凱旋二路130號,07-7513171,22.6251221,120.3240374,null
0142030019,衛生福利部旗山醫院,高雄市,旗山區,842,,高雄市旗山區中學路60號,07-6613811,22.880796,120.483264,null
0502030015,國軍高雄總醫院左營分院附設民眾診療服務處,高雄市,左營區,813,,高雄市旗山區中學路60號,07-5811648,22.701528,120.290414,null
0502080015,國軍高雄總醫院附設民眾診療服務處,高雄市,苓雅區,802,,高雄市苓雅區建軍路5號,07-7496751,22.627649,120.342169,null
0542020011,國軍高雄總醫院岡山分院附設民眾診療服務處,高雄市,岡山區,820,,高雄市岡山區大義二路1號,07-6250919,22.789456,120.285874,null
0602030026,高雄榮民總醫院,高雄市,左營區,813,,高雄市左營區大中一路386號,07-3422121,22.677537,120.322504,null
0902080013,阮綜合醫療社團法人阮綜合醫院,高雄市,苓雅區,802,,高雄市苓雅區成功一路162號,07-3351121,22.626881,120.326254,null
0907030013,廣聖醫療社團法人廣聖醫院,高雄市,旗山區,842,,高雄市旗山區中華路618號,07-6622391,22.884981,120.485444,null
0907320012,愛仁醫療社團法人愛仁醫院,高雄市,三民區,807,,高雄市三民區民族一路51號,07-3115159,22.641817,120.31384,null
0907350010,乃榮醫療社團法人乃榮醫院,高雄市,苓雅區,802,,高雄市苓雅區三多二路226,07-7613151,22.618759,120.31878,null
0942020019,高雄市立岡山醫院（委託秀傳醫療社團法人經營）,高雄市,岡山區,820,,高雄市岡山區岡山里壽天路12號,07-6222131,22.796612,120.294443,null
1102110011,高雄市立小港醫院(委託財團法人私立高雄醫學大學經營),高雄市,小港區,812,,高雄市小港區山明里山明路四八二號B1-10樓,07-8036783,22.567359,120.363101,null
1107120017,義大醫療財團法人義大癌治療醫院,高雄市,燕巢區,824,,高雄市燕巢區角宿里義大路21號,07-6150022,22.764405,120.3627832,null
1107320017,義大醫療財團法人義大大昌醫院,高雄市,三民區,807,,高雄市三民區大昌一路305號地下1樓至6樓,07-5599123,22.652288,120.329053,null
1107350015,天主教聖功醫療財團法人聖功醫院,高雄市,苓雅區,802,,高雄市苓雅區建國一路352號,07-2238153,22.63316,120.323966,null
1142010518,高雄市立鳳山醫院（委託長庚醫療財團法人經營）,高雄市,鳳山區,830,,高雄市鳳山區經武路42號,07-7418151,22.628244,120.362974,null
1142100017,長庚醫療財團法人高雄長庚紀念醫院,高雄市,鳥松區,833,,高雄市鳥松區大埤路123號,07-7317123,22.655663,120.357238,null
1142120001,義大醫療財團法人義大醫院,高雄市,燕巢區,824,,高雄市燕巢區角宿里義大路1號,07-6150011,22.770797,120.358397,null
1202080029,信義醫療財團法人高雄基督教醫院,高雄市,苓雅區,802,,高雄市苓雅區華新街86號,07-3321111,22.613902,120.296232,null
1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,高雄市,三民區,807,,高雄市三民區十全一路100號,07-3121101,22.6477347,120.310416,null
1307370011,高雄市立旗津醫院,高雄市,旗津區,805,,高雄市旗津區旗港路33號,07-5711188,22.59021,120.285113,null
1502020065,正大醫院,高雄市,鼓山區,804,,高雄市鼓山區鼓山三路128-9號,07-5823989,22.663874,120.27954,null
1502031095,馨蕙馨醫院,高雄市,左營區,813,,高雄市左營區明誠二路五四一號,07-5586080,22.660969,120.303764,null
1502031102,柏仁醫院,高雄市,左營區,813,,高雄市左營區博愛二路350號地下1樓至地上1-5樓,07-5508888,22.6643339,120.3034765,null
1502040021,健仁醫院,高雄市,楠梓區,811,,高雄市楠梓區中陽里楠陽路136號,07-3517166,22.72362,120.328988,null
1502040076,顏威裕醫院,高雄市,楠梓區,811,,高雄市楠梓區秀昌里後昌路826號,07-3639053,22.711168,120.295692,null
1502041108,長春醫院,高雄市,楠梓區,811,,高雄市楠梓區右昌街331號,07-3612995,22.714272,120.2891,null
1502041117,右昌聯合醫院,高雄市,楠梓區,811,,高雄市楠梓區軍校路930號,07-3643388,22.7138,120.290879,null
1502050045,德謙醫院,高雄市,三民區,807,,高雄市三民區九如二路18號地下1樓至6樓,07-3210981,22.64066,120.313181,null
1502050152,南山醫院,高雄市,三民區,807,,高雄市三民區建東里建國三路151號,07-2882101,22.637671,120.298535,null
1502050170,祐生醫院,高雄市,三民區,807,,高雄市三民區建國三路60號,07-2866688,22.637983,120.296106,null
1502050241,民族醫院,高雄市,三民區,807,,高雄市三民區民族一路880號,07-3462802,22.668546,120.317459,null
1502050296,文雄醫院,高雄市,三民區,807,,高雄市三民區察哈爾二街132號地下1層地上1至4層,07-3165275,22.64794,120.299466,null
1502051426,四季台安醫院,高雄市,三民區,807,,高雄市三民區聯興路157號,07-3983000,22.65947,120.313861,null
1502060014,蕭志文醫院,高雄市,新興區,800,,高雄市新興區七賢一路102號,07-2240252,22.633944,120.314331,null
1502060149,惠仁醫院,高雄市,新興區,800,,高雄市新興區中山一路67-2號,07-2010196,22.6298265,120.2992464,null
1502070029,重仁骨科,高雄市,前金區,801,,高雄市前金區中華三路247號,07-2813136,22.6343543,120.2937679,null
1502070118,健新醫院,高雄市,前金區,801,,高雄市前金區七賢二路295號,07-2613866,22.631257,120.29084,null
1502081175,邱外科醫院,高雄市,苓雅區,802,,高雄市苓雅區成功一路137號1-6樓,07-3335131,22.614609,120.29756,null
1502090209,吳昆哲婦產小兒科醫院,高雄市,前鎮區,806,,高雄市前鎮區民權二路430號,07-3319611,22.612107,120.314356,null
1502111089,戴銘浚婦兒醫院,高雄市,小港區,812,,高雄市小港區宏平路661號,07-8061289,22.569572,120.351192,null
1507010014,新高鳳醫院,高雄市,鳳山區,830,,高雄市鳳山區光遠路360號,07-7472320,22.6262003,120.3587368,null
1507290012,生安婦產小兒科醫院,高雄市,鼓山區,804,,高雄市鼓山區美術東二路177號B2-11F,07-5223138,22.662407,120.288311,null
1507300022,博愛蕙馨醫院,高雄市,左營區,813,,高雄市左營區博愛二路20號1-7樓,07-8628880,22.666576,120.303474,null
1507310019,金安心醫院,高雄市,楠梓區,811,,高雄市楠梓區加昌路606號1-4樓,07-3649890,22.715882,120.29898,null
1507320015,新高醫院,高雄市,三民區,807,,高雄市三民區莊敬路288號,07-3828814,22.649991,120.318257,null
1507340044,活力得中山脊椎外科醫院,高雄市,前金區,801,,高雄市前金區青年二路6號1-4樓,07-2317108,22.620029,120.301704,null
1507360019,瑞祥醫院,高雄市,前鎮區,806,,高雄市前鎮區班超路92號,07-7717503,22.602633,120.324938,null
1507360028,新正薪醫院,高雄市,前鎮區,806,,高雄市前鎮區一心一路233號1-4樓,07-9705335,22.60791,120.317754,null
1542010052,大東醫院,高雄市,鳳山區,830,,高雄市鳳山區光遠路171-2號,07-7463762,22.625364,120.362057,null
1542010141,優生婦產科醫院,高雄市,鳳山區,830,,高雄市鳳山區自由路189號,07-7478629,22.625555,120.351021,null
1542011237,惠德醫院,高雄市,鳳山區,830,,高雄市鳳山區福祥街81號及同號2樓,07-8126000,22.592127,120.325362,null
1542011282,杏和醫院,高雄市,鳳山區,830,,高雄市鳳山區五甲二路389號1樓,07-7613111,22.597673,120.335627,null
1542020058,劉嘉修醫院,高雄市,岡山區,820,,高雄市岡山區岡山里岡山路428號,07-6222836,22.795756,120.295867,null
1542020067,劉光雄醫院,高雄市,岡山區,820,,高雄市岡山區岡山路380-1號,07-6219156,22.794195,120.2937176,null
1542021171,惠川醫院,高雄市,岡山區,820,,岡山區岡山路92號,07-6229292,22.78798,120.29673,null
1542030018,重安醫院,高雄市,旗山區,842,,高雄市旗山區大德里大仁街18號,07-6618471,22.883021,120.484822,null
1542030116,溪洲醫院,高雄市,旗山區,842,,高雄市旗山區延平一路408．412號,07-6621985,22.892927,120.483167,null
1542040050,三聖醫院,高雄市,美濃區,843,,高雄市美濃區合和里合和路56號,07-6818495,22.8941331,120.548179,null
1542050056,建佑醫院,高雄市,林園區,832,,高雄市林園區東林西路358號B1-6樓,07-6437901,22.503689,120.3863092,null
1542051151,霖園醫院,高雄市,林園區,832,,高雄市林園區林園里林園北路244號,07-6413399,22.5089269,120.3923897,null
1542061077,樂生婦幼醫院,高雄市,大寮區,831,,高雄市大寮區鳳林三路532號,07-7862688,22.606815,120.395585,null
1542061148,瑞生醫院,高雄市,大寮區,831,,高雄市大寮區中興里鳳林四路192號,07-7835175,22.61783,120.3848748,null
1542140046,長佑醫院,高雄市,阿蓮區,822,,高雄市阿蓮區清蓮里中山路150號,07-6311267,22.877576,120.327731,null
1542150033,溫有諒醫院,高雄市,路竹區,821,,高雄市路竹區竹南村延平路57號,07-6965136,22.857968,120.258689,null
1542150042,高新醫院,高雄市,路竹區,821,,高雄市路竹區中山路627號,07-6975903,22.865457,120.256918,null
2342010013,高雄市鳳山區衛生所,高雄市,鳳山區,830,,高雄市鳳山區經武路34巷2號,07-7430437,22.627334,120.362643,null
2342020019,高雄市岡山區衛生所,高雄市,岡山區,820,,高雄市岡山區公園路50號,07-6212015,22.7961195,120.2910096,null
